feature,mean_abs_shap_all_targets
target_speed,0.13125450408735573
tls_color_t,0.10071245952414247
speed_t,0.0805661681922219
dist_tls_t,0.06978463620359318
leader_speed_t,0.06787394901003545
time_loss_t,0.06028117700184458
leader_gap_t,0.04688843972940278
action,0.03425198407330102
vehicle_type_ICE,0.03254117346200409
acceleration_t,0.03127915536505891
is_stopped_t,0.02873200848603149
vehicle_type_EV,0.027795113809484743
source_policy_DDPG,0.027086868340405166
vehicle_type_HEV,0.026975586792801758
source_policy_DDQN,0.024132261199258088
source_policy_DQN,0.023619392297539312
waiting_time_t,0.023415230492703543
