feature,mean_abs_shap
leader_speed_t,0.4769599107606783
leader_gap_t,0.043114979769395295
target_speed,0.038265922355430144
source_policy_DQN,0.031186451896856746
dist_tls_t,0.0288347268649047
time_loss_t,0.024859304606225322
vehicle_type_HEV,0.0223178145583032
action,0.02217463404104776
is_stopped_t,0.020703692914126832
tls_color_t,0.0206573207687611
vehicle_type_EV,0.020009036806240933
vehicle_type_ICE,0.01989851229107949
acceleration_t,0.01654534241034688
source_policy_DDPG,0.014089629813792741
speed_t,0.01291025256091201
waiting_time_t,0.010174841264517273
source_policy_DDQN,0.008135867179792972
